date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2016,クチコミ総合評価,3.38
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2017,クチコミ総合評価,3.44
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2018,クチコミ総合評価,3.48
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2019,クチコミ総合評価,3.46
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2020,クチコミ総合評価,3.33
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2021,クチコミ総合評価,3.37
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2022,クチコミ総合評価,3.55
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2023,クチコミ総合評価,3.51
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2024,クチコミ総合評価,3.37
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2025,クチコミ総合評価,3.12
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2016,待遇面の満足度,2.8
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2017,待遇面の満足度,2.85
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2018,待遇面の満足度,2.95
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2019,待遇面の満足度,2.95
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2020,待遇面の満足度,2.85
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2021,待遇面の満足度,2.85
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2022,待遇面の満足度,3.06
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2023,待遇面の満足度,2.87
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2024,待遇面の満足度,2.68
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2025,待遇面の満足度,2.12
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2016,社員の士気,3.46
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2017,社員の士気,3.52
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2018,社員の士気,3.52
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2019,社員の士気,3.51
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2020,社員の士気,3.31
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2021,社員の士気,3.33
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2022,社員の士気,3.51
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2023,社員の士気,3.36
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2024,社員の士気,3.32
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2025,社員の士気,3.36
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2016,風通しの良さ,3.14
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2017,風通しの良さ,3.21
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2018,風通しの良さ,3.21
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2019,風通しの良さ,3.23
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2020,風通しの良さ,2.96
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2021,風通しの良さ,2.96
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2022,風通しの良さ,3.06
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2023,風通しの良さ,3.08
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2024,風通しの良さ,2.94
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2025,風通しの良さ,2.37
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2016,社員の相互尊重,2.97
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2017,社員の相互尊重,2.96
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2018,社員の相互尊重,2.94
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2019,社員の相互尊重,2.81
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2020,社員の相互尊重,2.77
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2021,社員の相互尊重,2.82
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2022,社員の相互尊重,3
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2023,社員の相互尊重,3.18
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2024,社員の相互尊重,3.25
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2025,社員の相互尊重,2.55
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2016,20代成長環境,4.45
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2017,20代成長環境,4.46
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2018,20代成長環境,4.43
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2019,20代成長環境,4.32
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2020,20代成長環境,4.21
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2021,20代成長環境,4.25
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2022,20代成長環境,4.46
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2023,20代成長環境,4.34
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2024,20代成長環境,4.17
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2025,20代成長環境,4.22
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2016,人材の長期育成,2.06
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2017,人材の長期育成,2.08
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2018,人材の長期育成,2.17
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2019,人材の長期育成,2.13
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2020,人材の長期育成,2.16
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2021,人材の長期育成,2.28
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2022,人材の長期育成,2.43
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2023,人材の長期育成,2.4
2025/6/30,光通信,9435,TOPIX Mid400,a0910000000Frvw,2024,人材の長期育成,2.36
