date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2016,クチコミ総合評価,3.05
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2017,クチコミ総合評価,3.09
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2018,クチコミ総合評価,3.15
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2019,クチコミ総合評価,3.17
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2020,クチコミ総合評価,3.09
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2021,クチコミ総合評価,3.13
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2022,クチコミ総合評価,3.19
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2023,クチコミ総合評価,3.22
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2024,クチコミ総合評価,3.25
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2025,クチコミ総合評価,2.77
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2016,待遇面の満足度,2.58
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2017,待遇面の満足度,2.58
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2018,待遇面の満足度,2.51
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2019,待遇面の満足度,2.55
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2020,待遇面の満足度,2.53
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2021,待遇面の満足度,2.52
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2022,待遇面の満足度,2.51
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2023,待遇面の満足度,2.65
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2024,待遇面の満足度,2.53
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2025,待遇面の満足度,1.67
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2016,社員の士気,2.82
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2017,社員の士気,2.8
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2018,社員の士気,2.8
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2019,社員の士気,2.82
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2020,社員の士気,2.82
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2021,社員の士気,2.74
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2022,社員の士気,2.74
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2023,社員の士気,2.71
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2024,社員の士気,2.59
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2025,社員の士気,2
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2016,風通しの良さ,3.44
2025/6/30,ＧＭＯインターネットグループ,9449,TOPIX Mid400,a0910000000Frw7,2017,風通しの良さ,3.5
