date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2016,クチコミ総合評価,3.08
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2017,クチコミ総合評価,3.05
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2018,クチコミ総合評価,3.12
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2019,クチコミ総合評価,3.18
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2020,クチコミ総合評価,3.26
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2021,クチコミ総合評価,3.2
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2022,クチコミ総合評価,3.14
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2023,クチコミ総合評価,3.15
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2024,クチコミ総合評価,3.06
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2025,クチコミ総合評価,3.02
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2016,待遇面の満足度,2.96
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2017,待遇面の満足度,3.07
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2018,待遇面の満足度,3.21
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2019,待遇面の満足度,3.29
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2020,待遇面の満足度,3.41
2025/6/30,東京電力ホールディングス,9501,TOPIX Mid400,a0910000000FrwI,2021,待遇面の満足度,3.46
