date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2016,クチコミ総合評価,3.27
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2017,クチコミ総合評価,3.22
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2018,クチコミ総合評価,3.18
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2019,クチコミ総合評価,3.22
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2020,クチコミ総合評価,3.26
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2021,クチコミ総合評価,3.39
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2022,クチコミ総合評価,3.42
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2023,クチコミ総合評価,3.37
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2024,クチコミ総合評価,3.5
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2025,クチコミ総合評価,3.73
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2016,待遇面の満足度,3.54
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2017,待遇面の満足度,3.48
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2018,待遇面の満足度,3.29
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2019,待遇面の満足度,3.21
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2020,待遇面の満足度,3.22
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2021,待遇面の満足度,3.44
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2022,待遇面の満足度,3.52
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2023,待遇面の満足度,3.37
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2024,待遇面の満足度,3.56
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2025,待遇面の満足度,4.5
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2016,社員の士気,2.63
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2017,社員の士気,2.58
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2018,社員の士気,2.62
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2019,社員の士気,2.66
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2020,社員の士気,2.72
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2021,社員の士気,2.78
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2022,社員の士気,2.8
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2023,社員の士気,2.83
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2024,社員の士気,2.87
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2025,社員の士気,3
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2016,風通しの良さ,3.28
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2017,風通しの良さ,3.15
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2018,風通しの良さ,3.14
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2019,風通しの良さ,3.26
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2020,風通しの良さ,3.37
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2021,風通しの良さ,3.56
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2022,風通しの良さ,3.55
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2023,風通しの良さ,3.52
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2024,風通しの良さ,3.56
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2025,風通しの良さ,3.88
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2016,社員の相互尊重,3.54
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2017,社員の相互尊重,3.5
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2018,社員の相互尊重,3.5
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2019,社員の相互尊重,3.61
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2020,社員の相互尊重,3.67
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2021,社員の相互尊重,3.82
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2022,社員の相互尊重,3.82
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2023,社員の相互尊重,3.79
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2024,社員の相互尊重,3.97
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2025,社員の相互尊重,4.5
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2016,20代成長環境,2.39
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2017,20代成長環境,2.33
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2018,20代成長環境,2.29
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2019,20代成長環境,2.31
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2020,20代成長環境,2.32
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2021,20代成長環境,2.43
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2022,20代成長環境,2.52
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2023,20代成長環境,2.44
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2024,20代成長環境,2.52
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2025,20代成長環境,2.5
2025/6/30,中国電力,9504,TOPIX Mid400,a0910000000FrwL,2016,人材の長期育成,2.72
