date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2016,クチコミ総合評価,3.32
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2017,クチコミ総合評価,3.26
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2018,クチコミ総合評価,3.25
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2019,クチコミ総合評価,3.31
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2020,クチコミ総合評価,3.3
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2021,クチコミ総合評価,3.31
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2022,クチコミ総合評価,3.32
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2023,クチコミ総合評価,3.33
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2024,クチコミ総合評価,3.35
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2025,クチコミ総合評価,3.37
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2016,待遇面の満足度,3.77
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2017,待遇面の満足度,3.73
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2018,待遇面の満足度,3.8
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2019,待遇面の満足度,3.89
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2020,待遇面の満足度,3.96
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2021,待遇面の満足度,3.97
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2022,待遇面の満足度,4.03
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2023,待遇面の満足度,4.07
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2024,待遇面の満足度,4.13
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2025,待遇面の満足度,3.61
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2016,社員の士気,2.79
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2017,社員の士気,2.79
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2018,社員の士気,2.71
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2019,社員の士気,2.73
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2020,社員の士気,2.77
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2021,社員の士気,2.74
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2022,社員の士気,2.73
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2023,社員の士気,2.77
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2024,社員の士気,2.84
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2025,社員の士気,2.67
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2016,風通しの良さ,3
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2017,風通しの良さ,2.96
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2018,風通しの良さ,2.96
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2019,風通しの良さ,3.09
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2020,風通しの良さ,3.18
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2021,風通しの良さ,3.25
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2022,風通しの良さ,3.4
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2023,風通しの良さ,3.44
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2024,風通しの良さ,3.23
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2025,風通しの良さ,3.79
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2016,社員の相互尊重,3.62
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2017,社員の相互尊重,3.54
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2018,社員の相互尊重,3.48
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2019,社員の相互尊重,3.5
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2020,社員の相互尊重,3.35
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2021,社員の相互尊重,3.34
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2022,社員の相互尊重,3.18
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2023,社員の相互尊重,3.32
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2024,社員の相互尊重,3.31
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2025,社員の相互尊重,3.22
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2016,20代成長環境,2.3
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2017,20代成長環境,2.27
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2018,20代成長環境,2.31
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2019,20代成長環境,2.4
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2020,20代成長環境,2.44
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2021,20代成長環境,2.56
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2022,20代成長環境,2.61
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2023,20代成長環境,2.5
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2024,20代成長環境,2.6
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2025,20代成長環境,2.78
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2016,人材の長期育成,2.84
2025/6/30,四国電力,9507,TOPIX Mid400,a0910000000FrwO,2017,人材の長期育成,2.73
