date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,クチコミ総合評価,3.33
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,クチコミ総合評価,3.31
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,クチコミ総合評価,3.32
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,クチコミ総合評価,3.27
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,クチコミ総合評価,3.27
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,クチコミ総合評価,3.24
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,クチコミ総合評価,3.19
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,クチコミ総合評価,3.3
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,クチコミ総合評価,3.44
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,クチコミ総合評価,3.36
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,待遇面の満足度,3.62
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,待遇面の満足度,3.57
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,待遇面の満足度,3.55
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,待遇面の満足度,3.46
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,待遇面の満足度,3.4
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,待遇面の満足度,3.34
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,待遇面の満足度,3.34
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,待遇面の満足度,3.5
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,待遇面の満足度,3.55
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,待遇面の満足度,3.68
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,社員の士気,2.85
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,社員の士気,2.85
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,社員の士気,2.79
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,社員の士気,2.75
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,社員の士気,2.71
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,社員の士気,2.69
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,社員の士気,2.62
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,社員の士気,2.7
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,社員の士気,2.89
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,社員の士気,2.81
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,風通しの良さ,2.96
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,風通しの良さ,2.98
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,風通しの良さ,2.98
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,風通しの良さ,2.94
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,風通しの良さ,2.99
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,風通しの良さ,3.04
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,風通しの良さ,2.97
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,風通しの良さ,3.07
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,風通しの良さ,3.41
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,風通しの良さ,3.36
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,社員の相互尊重,3.77
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,社員の相互尊重,3.79
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,社員の相互尊重,3.92
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,社員の相互尊重,3.81
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,社員の相互尊重,3.89
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,社員の相互尊重,3.92
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,社員の相互尊重,3.84
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,社員の相互尊重,4
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,社員の相互尊重,4.09
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,社員の相互尊重,3.97
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,20代成長環境,2.44
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,20代成長環境,2.41
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,20代成長環境,2.36
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,20代成長環境,2.33
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,20代成長環境,2.33
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,20代成長環境,2.26
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,20代成長環境,2.17
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,20代成長環境,2.28
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,20代成長環境,2.41
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,20代成長環境,2.31
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,人材の長期育成,2.98
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,人材の長期育成,2.95
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,人材の長期育成,2.94
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,人材の長期育成,2.9
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,人材の長期育成,2.88
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,人材の長期育成,2.8
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,人材の長期育成,2.69
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,人材の長期育成,2.77
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,人材の長期育成,2.86
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,人材の長期育成,2.69
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,法令順守意識,4.78
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,法令順守意識,4.81
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,法令順守意識,4.86
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,法令順守意識,4.84
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,法令順守意識,4.84
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,法令順守意識,4.87
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,法令順守意識,4.86
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,法令順守意識,4.9
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,法令順守意識,4.91
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,法令順守意識,4.84
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,人事評価の適正感,2.58
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,人事評価の適正感,2.53
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,人事評価の適正感,2.51
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,人事評価の適正感,2.54
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,人事評価の適正感,2.52
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,人事評価の適正感,2.47
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,人事評価の適正感,2.47
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,人事評価の適正感,2.57
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,人事評価の適正感,2.62
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,人事評価の適正感,2.44
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,有給休暇消化率,69.09
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,有給休暇消化率,68.74
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,有給休暇消化率,68.31
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,有給休暇消化率,68.81
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,有給休暇消化率,68.15
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,有給休暇消化率,68.26
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,有給休暇消化率,70
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,有給休暇消化率,71.67
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,有給休暇消化率,76.62
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,有給休暇消化率,79.69
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2016,残業時間(月間),24.11
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2017,残業時間(月間),22.73
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2018,残業時間(月間),21.79
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2019,残業時間(月間),20.67
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2020,残業時間(月間),21.67
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2021,残業時間(月間),20.85
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2022,残業時間(月間),20.59
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2023,残業時間(月間),18.4
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2024,残業時間(月間),16.32
2025/6/30,九州電力,9508,TOPIX Mid400,a0910000000FrwP,2025,残業時間(月間),13.38
