date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2016,クチコミ総合評価,3.81
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2017,クチコミ総合評価,3.81
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2018,クチコミ総合評価,3.78
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2019,クチコミ総合評価,3.86
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2020,クチコミ総合評価,3.91
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2021,クチコミ総合評価,3.95
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2022,クチコミ総合評価,3.95
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2023,クチコミ総合評価,4.08
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2024,クチコミ総合評価,4.25
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2025,クチコミ総合評価,4.3
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2016,待遇面の満足度,4.24
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2017,待遇面の満足度,4.3
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2018,待遇面の満足度,4.27
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2019,待遇面の満足度,4.27
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2020,待遇面の満足度,4.32
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2021,待遇面の満足度,4.28
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2022,待遇面の満足度,4.32
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2023,待遇面の満足度,4.27
2025/6/30,大阪瓦斯,9532,TOPIX Mid400,a0910000000FrwV,2024,待遇面の満足度,4.34
