date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2016,クチコミ総合評価,3.22
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2017,クチコミ総合評価,3.2
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2018,クチコミ総合評価,3.23
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2019,クチコミ総合評価,3.32
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2020,クチコミ総合評価,3.39
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2021,クチコミ総合評価,3.41
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2022,クチコミ総合評価,3.42
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2023,クチコミ総合評価,3.43
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2024,クチコミ総合評価,3.31
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2025,クチコミ総合評価,3.09
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2016,待遇面の満足度,4.14
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2017,待遇面の満足度,4.15
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2018,待遇面の満足度,4.16
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2019,待遇面の満足度,4.2
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2020,待遇面の満足度,4.21
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2021,待遇面の満足度,4.2
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2022,待遇面の満足度,4.17
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2023,待遇面の満足度,4.16
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2024,待遇面の満足度,3.93
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2025,待遇面の満足度,3.56
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2016,社員の士気,2.46
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2017,社員の士気,2.45
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2018,社員の士気,2.46
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2019,社員の士気,2.54
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2020,社員の士気,2.65
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2021,社員の士気,2.63
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2022,社員の士気,2.59
2025/6/30,東邦瓦斯,9533,TOPIX Mid400,a0910000000FrwW,2023,社員の士気,2.68
