date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,クチコミ総合評価,3.43
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,クチコミ総合評価,3.19
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,クチコミ総合評価,3.06
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,クチコミ総合評価,3.08
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,クチコミ総合評価,3.16
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,クチコミ総合評価,3.25
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,クチコミ総合評価,3.21
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,クチコミ総合評価,3.57
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2024,クチコミ総合評価,3.57
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2025,クチコミ総合評価,4.31
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,待遇面の満足度,2.88
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,待遇面の満足度,2.6
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,待遇面の満足度,2.73
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,待遇面の満足度,2.75
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,待遇面の満足度,2.7
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,待遇面の満足度,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,待遇面の満足度,3.38
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,待遇面の満足度,3.88
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2024,待遇面の満足度,3.88
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2025,待遇面の満足度,4.88
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,社員の士気,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,社員の士気,2.79
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,社員の士気,2.74
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,社員の士気,2.74
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,社員の士気,2.92
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,社員の士気,2.89
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,社員の士気,2.84
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,社員の士気,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2024,社員の士気,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2025,社員の士気,3.7
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,風通しの良さ,3.78
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,風通しの良さ,3.26
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,風通しの良さ,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,風通しの良さ,3.16
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,風通しの良さ,2.9
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,風通しの良さ,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,風通しの良さ,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,風通しの良さ,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2024,風通しの良さ,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2025,風通しの良さ,3.88
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,社員の相互尊重,3.78
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,社員の相互尊重,3.5
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,社員の相互尊重,3.13
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,社員の相互尊重,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,社員の相互尊重,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,社員の相互尊重,3.28
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,社員の相互尊重,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,社員の相互尊重,3.47
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2024,社員の相互尊重,3.47
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2025,社員の相互尊重,3.88
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,20代成長環境,2.88
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,20代成長環境,2.8
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,20代成長環境,2.67
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,20代成長環境,2.83
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,20代成長環境,3.2
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,20代成長環境,3.28
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,20代成長環境,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,20代成長環境,3.47
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2024,20代成長環境,3.47
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2025,20代成長環境,4.5
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,人材の長期育成,3.12
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,人材の長期育成,2.93
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,人材の長期育成,2.87
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,人材の長期育成,2.75
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,人材の長期育成,2.9
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,人材の長期育成,2.57
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,人材の長期育成,2.4
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,人材の長期育成,2.5
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2024,人材の長期育成,2.5
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2025,人材の長期育成,3
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2016,法令順守意識,4.14
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2017,法令順守意識,4.02
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2018,法令順守意識,4.02
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2019,法令順守意識,4.22
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2020,法令順守意識,4.28
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2021,法令順守意識,4.5
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2022,法令順守意識,4.68
2025/6/30,東宝,9602,TOPIX Mid400,a0910000000Frwj,2023,法令順守意識,4.72
