date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,クチコミ総合評価,4.1
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,クチコミ総合評価,4.16
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,クチコミ総合評価,4.2
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,クチコミ総合評価,4.23
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,待遇面の満足度,3.66
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,待遇面の満足度,3.67
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,待遇面の満足度,3.67
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,待遇面の満足度,3.72
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,社員の士気,3.39
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,社員の士気,3.48
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,社員の士気,3.51
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,社員の士気,3.59
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,風通しの良さ,4.05
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,風通しの良さ,4.1
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,風通しの良さ,4.13
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,風通しの良さ,4.2
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,社員の相互尊重,4.29
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,社員の相互尊重,4.27
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,社員の相互尊重,4.26
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,社員の相互尊重,4.14
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,20代成長環境,3.64
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,20代成長環境,3.7
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,20代成長環境,3.81
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,20代成長環境,3.8
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,人材の長期育成,4.07
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,人材の長期育成,4.09
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,人材の長期育成,4.09
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,人材の長期育成,4.08
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,法令順守意識,4.87
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,法令順守意識,4.87
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,法令順守意識,4.86
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,法令順守意識,4.87
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,人事評価の適正感,3.15
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,人事評価の適正感,3.3
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,人事評価の適正感,3.38
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,人事評価の適正感,3.5
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,有給休暇消化率,83.91
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,有給休暇消化率,83.01
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,有給休暇消化率,82.37
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,有給休暇消化率,80.68
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2022,残業時間(月間),32.3
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2023,残業時間(月間),31.61
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2024,残業時間(月間),31.09
2025/6/30,ＮＴＴデータグループ,9613,TOPIX Mid400,a0910000000Frwt,2025,残業時間(月間),31.65
