date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2016,クチコミ総合評価,3.06
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2017,クチコミ総合評価,3.08
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2018,クチコミ総合評価,3.1
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2019,クチコミ総合評価,3.06
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2020,クチコミ総合評価,3.11
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2021,クチコミ総合評価,3.08
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2022,クチコミ総合評価,3.06
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2023,クチコミ総合評価,3.05
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2024,クチコミ総合評価,3.14
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2025,クチコミ総合評価,2.84
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2016,待遇面の満足度,2.7
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2017,待遇面の満足度,2.71
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2018,待遇面の満足度,2.8
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2019,待遇面の満足度,2.82
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2020,待遇面の満足度,2.89
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2021,待遇面の満足度,2.84
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2022,待遇面の満足度,2.88
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2023,待遇面の満足度,2.97
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2024,待遇面の満足度,2.95
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2025,待遇面の満足度,2.4
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2016,社員の士気,3.18
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2017,社員の士気,3.26
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2018,社員の士気,3.29
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2019,社員の士気,3.15
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2020,社員の士気,3.17
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2021,社員の士気,3.12
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2022,社員の士気,2.94
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2023,社員の士気,2.85
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2024,社員の士気,2.85
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2025,社員の士気,2.4
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2016,風通しの良さ,2.9
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2017,風通しの良さ,2.9
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2018,風通しの良さ,2.9
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2019,風通しの良さ,2.93
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2020,風通しの良さ,3.07
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2021,風通しの良さ,3.09
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2022,風通しの良さ,3.12
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2023,風通しの良さ,3.18
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2024,風通しの良さ,3.29
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2025,風通しの良さ,3
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2016,社員の相互尊重,2.94
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2017,社員の相互尊重,3.01
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2018,社員の相互尊重,2.98
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2019,社員の相互尊重,2.91
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2020,社員の相互尊重,2.94
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2021,社員の相互尊重,2.81
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2022,社員の相互尊重,2.76
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2023,社員の相互尊重,2.76
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2024,社員の相互尊重,2.8
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2025,社員の相互尊重,2.6
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2016,20代成長環境,2.86
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2017,20代成長環境,2.82
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2018,20代成長環境,2.79
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2019,20代成長環境,2.78
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2020,20代成長環境,2.83
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2021,20代成長環境,2.72
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2022,20代成長環境,2.69
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2023,20代成長環境,2.58
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2024,20代成長環境,2.8
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2025,20代成長環境,2.6
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2016,人材の長期育成,2.5
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2017,人材の長期育成,2.47
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2018,人材の長期育成,2.45
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2019,人材の長期育成,2.34
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2020,人材の長期育成,2.35
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2021,人材の長期育成,2.31
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2022,人材の長期育成,2.33
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2023,人材の長期育成,2.27
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2024,人材の長期育成,2.45
2025/6/30,スクウェア・エニックス・ホールディングス,9684,TOPIX Mid400,a0910000000FrzL,2025,人材の長期育成,2.6
