date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,クチコミ総合評価,3.14
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,クチコミ総合評価,2.85
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,クチコミ総合評価,2.69
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,クチコミ総合評価,2.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,クチコミ総合評価,3.19
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,クチコミ総合評価,3.08
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,クチコミ総合評価,2.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,クチコミ総合評価,2.68
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,クチコミ総合評価,2.87
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,クチコミ総合評価,3.56
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,待遇面の満足度,2.33
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,待遇面の満足度,2
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,待遇面の満足度,1.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,待遇面の満足度,2.16
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,待遇面の満足度,2.43
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,待遇面の満足度,2.5
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,待遇面の満足度,2.33
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,待遇面の満足度,2.36
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,待遇面の満足度,2.2
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,待遇面の満足度,2
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,社員の士気,2.92
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,社員の士気,2.71
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,社員の士気,2.59
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,社員の士気,2.58
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,社員の士気,2.71
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,社員の士気,2.58
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,社員の士気,2.5
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,社員の士気,2.45
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,社員の士気,2.6
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,社員の士気,3.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,風通しの良さ,3
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,風通しの良さ,3.14
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,風通しの良さ,2.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,風通しの良さ,3.1
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,風通しの良さ,3.53
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,風通しの良さ,3.75
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,風通しの良さ,3.47
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,風通しの良さ,2.82
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,風通しの良さ,2.8
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,風通しの良さ,3.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,社員の相互尊重,3.47
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,社員の相互尊重,3.41
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,社員の相互尊重,3.23
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,社員の相互尊重,3.67
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,社員の相互尊重,4.08
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,社員の相互尊重,3.75
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,社員の相互尊重,3.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,社員の相互尊重,3.51
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,社員の相互尊重,3.72
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,社員の相互尊重,4.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,20代成長環境,4.32
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,20代成長環境,3.77
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,20代成長環境,3.34
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,20代成長環境,3.2
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,20代成長環境,3
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,20代成長環境,2.83
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,20代成長環境,2.83
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,20代成長環境,2.82
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,20代成長環境,2.8
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,20代成長環境,2.5
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,人材の長期育成,2.17
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,人材の長期育成,1.79
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,人材の長期育成,1.94
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,人材の長期育成,2.26
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,人材の長期育成,2.43
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,人材の長期育成,2.33
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,人材の長期育成,2.25
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,人材の長期育成,2.18
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,人材の長期育成,2.2
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,人材の長期育成,2
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,法令順守意識,3.29
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,法令順守意識,2.81
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,法令順守意識,2.79
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,法令順守意識,2.95
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,法令順守意識,3.78
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,法令順守意識,3.67
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,法令順守意識,2.85
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,法令順守意識,2.51
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,法令順守意識,2.82
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,法令順守意識,4.34
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,人事評価の適正感,3
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,人事評価の適正感,2.71
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,人事評価の適正感,2.59
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,人事評価の適正感,2.68
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,人事評価の適正感,2.79
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,人事評価の適正感,2.5
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,人事評価の適正感,2.42
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,人事評価の適正感,2.55
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,人事評価の適正感,3.38
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,人事評価の適正感,3.88
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,有給休暇消化率,60.83
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2017,有給休暇消化率,71.79
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2018,有給休暇消化率,77.94
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2019,有給休暇消化率,82.89
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2020,有給休暇消化率,94.29
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2021,有給休暇消化率,87.92
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2022,有給休暇消化率,60.83
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2023,有給休暇消化率,55
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2024,有給休暇消化率,57
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2025,有給休暇消化率,67.5
2025/6/30,日本空港ビルデング,9706,TOPIX Mid400,a0C1000000hXTB8,2016,残業時間(月間),9.08
