date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,クチコミ総合評価,3.12
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,クチコミ総合評価,3.2
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,クチコミ総合評価,3.32
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,待遇面の満足度,2.93
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,待遇面の満足度,3.02
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,待遇面の満足度,2.97
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,社員の士気,2.93
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,社員の士気,3.08
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,社員の士気,3.44
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,風通しの良さ,2.97
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,風通しの良さ,3.04
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,風通しの良さ,3.17
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,社員の相互尊重,2.86
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,社員の相互尊重,2.93
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,社員の相互尊重,3
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,20代成長環境,2.97
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,20代成長環境,2.95
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,20代成長環境,2.88
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,人材の長期育成,2.69
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,人材の長期育成,2.79
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,人材の長期育成,2.91
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,法令順守意識,4.64
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,法令順守意識,4.61
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,法令順守意識,4.79
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,人事評価の適正感,2.72
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,人事評価の適正感,2.86
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,人事評価の適正感,2.97
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,有給休暇消化率,72.87
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,有給休暇消化率,74.65
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,有給休暇消化率,71.47
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2023,残業時間(月間),19.1
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2024,残業時間(月間),19.15
2025/6/30,メイテックグループホールディングス,9744,TOPIX Mid400,a0910000000Fs03,2025,残業時間(月間),16.03
