date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2016,クチコミ総合評価,2.94
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2017,クチコミ総合評価,2.96
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2018,クチコミ総合評価,3.03
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2019,クチコミ総合評価,3.09
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2020,クチコミ総合評価,3.17
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2021,クチコミ総合評価,3.22
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2022,クチコミ総合評価,3.22
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2023,クチコミ総合評価,3.35
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2024,クチコミ総合評価,3.36
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2025,クチコミ総合評価,3.41
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2016,待遇面の満足度,2.78
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2017,待遇面の満足度,2.8
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2018,待遇面の満足度,2.85
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2019,待遇面の満足度,2.98
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2020,待遇面の満足度,3.06
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2021,待遇面の満足度,3.17
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2022,待遇面の満足度,3.18
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2023,待遇面の満足度,3.4
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2024,待遇面の満足度,3.51
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2025,待遇面の満足度,3.51
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2016,社員の士気,2.5
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2017,社員の士気,2.49
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2018,社員の士気,2.53
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2019,社員の士気,2.57
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2020,社員の士気,2.61
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2021,社員の士気,2.64
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2022,社員の士気,2.68
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2023,社員の士気,2.76
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2024,社員の士気,2.88
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2025,社員の士気,2.73
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2016,風通しの良さ,2.99
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2017,風通しの良さ,3.03
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2018,風通しの良さ,3.2
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2019,風通しの良さ,3.31
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2020,風通しの良さ,3.33
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2021,風通しの良さ,3.35
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2022,風通しの良さ,3.23
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2023,風通しの良さ,3.31
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2024,風通しの良さ,3.2
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2025,風通しの良さ,3.51
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2016,社員の相互尊重,2.85
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2017,社員の相互尊重,2.85
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2018,社員の相互尊重,2.86
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2019,社員の相互尊重,2.85
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2020,社員の相互尊重,2.91
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2021,社員の相互尊重,2.98
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2022,社員の相互尊重,2.91
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2023,社員の相互尊重,3.06
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2024,社員の相互尊重,3.15
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2025,社員の相互尊重,3.51
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2016,20代成長環境,2.85
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2017,20代成長環境,2.86
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2018,20代成長環境,2.94
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2019,20代成長環境,2.95
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2020,20代成長環境,2.98
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2021,20代成長環境,2.97
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2022,20代成長環境,2.99
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2023,20代成長環境,3.19
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2024,20代成長環境,3.1
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2025,20代成長環境,2.91
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2016,人材の長期育成,2.39
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2017,人材の長期育成,2.43
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2018,人材の長期育成,2.5
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2019,人材の長期育成,2.53
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2020,人材の長期育成,2.64
2025/6/30,ＮＳＤ,9759,TOPIX Mid400,a0910000000Fs0F,2021,人材の長期育成,2.7
