date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,クチコミ総合評価,2.8
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,クチコミ総合評価,2.98
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,クチコミ総合評価,3.23
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,クチコミ総合評価,3.01
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,クチコミ総合評価,3.23
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,クチコミ総合評価,3.3
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,クチコミ総合評価,3.75
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,クチコミ総合評価,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,クチコミ総合評価,3.65
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,クチコミ総合評価,4.03
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,待遇面の満足度,2.67
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,待遇面の満足度,2.6
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,待遇面の満足度,2.71
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,待遇面の満足度,2.1
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,待遇面の満足度,2.14
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,待遇面の満足度,2
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,待遇面の満足度,2.4
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,待遇面の満足度,2.5
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,待遇面の満足度,2.33
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,待遇面の満足度,2.5
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,社員の士気,2.78
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,社員の士気,2.9
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,社員の士気,3.28
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,社員の士気,3.38
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,社員の士気,3.53
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,社員の士気,3.72
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,社員の士気,3.72
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,社員の士気,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,社員の士気,3.61
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,社員の士気,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,風通しの良さ,2.22
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,風通しの良さ,2.4
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,風通しの良さ,2.57
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,風通しの良さ,2.4
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,風通しの良さ,2.71
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,風通しの良さ,2.8
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,風通しの良さ,3.38
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,風通しの良さ,3.47
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,風通しの良さ,3.61
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,風通しの良さ,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,社員の相互尊重,2.56
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,社員の相互尊重,2.6
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,社員の相互尊重,2.57
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,社員の相互尊重,2.6
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,社員の相互尊重,3
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,社員の相互尊重,3.38
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,社員の相互尊重,3.38
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,社員の相互尊重,3.47
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,社員の相互尊重,3.61
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,社員の相互尊重,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,20代成長環境,3
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,20代成長環境,3.38
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,20代成長環境,3.98
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,20代成長環境,3.56
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,20代成長環境,3.77
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,20代成長環境,3.38
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,20代成長環境,4.02
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,20代成長環境,4.22
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,20代成長環境,3.61
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,20代成長環境,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,人材の長期育成,2
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,人材の長期育成,2.3
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,人材の長期育成,2.57
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,人材の長期育成,2.4
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,人材の長期育成,2.71
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,人材の長期育成,3
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,人材の長期育成,3.72
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,人材の長期育成,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,人材の長期育成,3.61
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,人材の長期育成,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,法令順守意識,4.39
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,法令順守意識,4.55
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,法令順守意識,4.61
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,法令順守意識,4.55
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,法令順守意識,4.7
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,法令順守意識,4.55
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,法令順守意識,4.55
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,法令順守意識,4.59
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,法令順守意識,4.39
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,法令順守意識,4.73
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,人事評価の適正感,2.56
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,人事評価の適正感,2.8
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,人事評価の適正感,3
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,人事評価の適正感,2.5
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,人事評価の適正感,2.71
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,人事評価の適正感,2.8
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,人事評価の適正感,3.38
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2023,人事評価の適正感,3.47
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2024,人事評価の適正感,3
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2025,人事評価の適正感,3.88
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2016,有給休暇消化率,42.22
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2017,有給休暇消化率,54.5
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2018,有給休暇消化率,58.57
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2019,有給休暇消化率,67
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2020,有給休暇消化率,76.43
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2021,有給休暇消化率,81
2025/6/30,コナミグループ,9766,TOPIX Mid400,a0910000000Fs0L,2022,有給休暇消化率,79
