date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2016,クチコミ総合評価,2.67
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2017,クチコミ総合評価,2.77
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2018,クチコミ総合評価,2.85
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2019,クチコミ総合評価,2.85
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2020,クチコミ総合評価,2.87
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2021,クチコミ総合評価,2.88
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2022,クチコミ総合評価,2.86
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2023,クチコミ総合評価,2.92
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2024,クチコミ総合評価,3.13
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2025,クチコミ総合評価,3.03
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2016,待遇面の満足度,2.51
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2017,待遇面の満足度,2.6
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2018,待遇面の満足度,2.67
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2019,待遇面の満足度,2.74
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2020,待遇面の満足度,2.67
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2021,待遇面の満足度,2.66
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2022,待遇面の満足度,2.63
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2023,待遇面の満足度,2.59
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2024,待遇面の満足度,2.73
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2025,待遇面の満足度,2.67
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2016,社員の士気,2.56
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2017,社員の士気,2.57
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2018,社員の士気,2.54
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2019,社員の士気,2.47
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2020,社員の士気,2.45
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2021,社員の士気,2.5
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2022,社員の士気,2.52
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2023,社員の士気,2.65
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2024,社員の士気,2.91
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2025,社員の士気,2.92
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2016,風通しの良さ,2.72
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2017,風通しの良さ,2.81
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2018,風通しの良さ,2.85
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2019,風通しの良さ,2.87
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2020,風通しの良さ,2.93
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2021,風通しの良さ,3.05
2025/6/30,ヤマダホールディングス,9831,TOPIX Mid400,a0C2x000008y1XQ,2022,風通しの良さ,3
