date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2016,クチコミ総合評価,3.41
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2017,クチコミ総合評価,3.34
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2018,クチコミ総合評価,3.34
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2019,クチコミ総合評価,3.45
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2020,クチコミ総合評価,3.42
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2021,クチコミ総合評価,3.55
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2022,クチコミ総合評価,3.68
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2023,クチコミ総合評価,3.72
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2024,クチコミ総合評価,3.76
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2025,クチコミ総合評価,3.55
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2016,待遇面の満足度,3.31
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2017,待遇面の満足度,3.38
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2018,待遇面の満足度,3.21
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2019,待遇面の満足度,3.26
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2020,待遇面の満足度,3.18
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2021,待遇面の満足度,3.35
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2022,待遇面の満足度,3.41
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2023,待遇面の満足度,3.34
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2024,待遇面の満足度,3.4
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2025,待遇面の満足度,3.61
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2016,社員の士気,3.02
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2017,社員の士気,2.97
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2018,社員の士気,3.08
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2019,社員の士気,3.27
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2020,社員の士気,3.24
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2021,社員の士気,3.26
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2022,社員の士気,3.38
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2023,社員の士気,3.31
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2024,社員の士気,3.28
2025/6/30,ニトリホールディングス,9843,TOPIX Large70,a0C1000000lN4lJ,2025,社員の士気,3
