date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,クチコミ総合評価,3.39
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,クチコミ総合評価,3.35
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,クチコミ総合評価,3.15
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,クチコミ総合評価,3.05
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,クチコミ総合評価,3.17
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,クチコミ総合評価,3.21
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,クチコミ総合評価,3.22
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,クチコミ総合評価,3.48
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2023,クチコミ総合評価,3.58
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2024,クチコミ総合評価,3.9
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,待遇面の満足度,3.11
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,待遇面の満足度,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,待遇面の満足度,2.93
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,待遇面の満足度,2.88
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,待遇面の満足度,2.94
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,待遇面の満足度,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,待遇面の満足度,2.75
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,待遇面の満足度,2.79
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2023,待遇面の満足度,2.75
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2024,待遇面の満足度,2.67
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,社員の士気,3.24
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,社員の士気,3.07
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,社員の士気,2.96
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,社員の士気,2.81
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,社員の士気,2.82
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,社員の士気,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,社員の士気,3.16
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,社員の士気,3.41
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2023,社員の士気,3.75
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2024,社員の士気,4.11
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,風通しの良さ,3.11
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,風通しの良さ,3.2
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,風通しの良さ,2.96
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,風通しの良さ,2.92
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,風通しの良さ,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,風通しの良さ,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,風通しの良さ,3.16
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,風通しの良さ,3.28
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2023,風通しの良さ,3.16
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2024,風通しの良さ,4.5
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,社員の相互尊重,3.31
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,社員の相互尊重,3.32
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,社員の相互尊重,3.29
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,社員の相互尊重,3.43
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,社員の相互尊重,3.74
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,社員の相互尊重,3.81
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,社員の相互尊重,4
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,社員の相互尊重,4.17
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2023,社員の相互尊重,4.11
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2024,社員の相互尊重,4.78
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,20代成長環境,3.41
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,20代成長環境,3.38
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,20代成長環境,2.96
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,20代成長環境,2.69
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,20代成長環境,2.76
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,20代成長環境,2.91
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,20代成長環境,2.92
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,20代成長環境,3.14
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2023,20代成長環境,3.32
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2024,20代成長環境,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,人材の長期育成,2.99
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,人材の長期育成,2.87
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,人材の長期育成,2.74
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,人材の長期育成,2.65
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,人材の長期育成,2.76
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,人材の長期育成,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,人材の長期育成,2.83
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,人材の長期育成,3.14
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2023,人材の長期育成,3.16
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2024,人材の長期育成,3
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2015,法令順守意識,3.53
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2016,法令順守意識,3.49
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2017,法令順守意識,3.39
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2018,法令順守意識,3.35
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2019,法令順守意識,3.67
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2020,法令順守意識,3.14
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2021,法令順守意識,2.87
2025/6/30,吉野家ホールディングス,9861,TOPIX Mid400,a0910000000Fs30,2022,法令順守意識,3.11
