date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2016,クチコミ総合評価,3.02
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2017,クチコミ総合評価,3.03
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2018,クチコミ総合評価,3.04
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2019,クチコミ総合評価,3.08
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2020,クチコミ総合評価,3.14
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2021,クチコミ総合評価,3.11
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2022,クチコミ総合評価,3.14
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2023,クチコミ総合評価,3.24
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2024,クチコミ総合評価,3.18
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2025,クチコミ総合評価,3.22
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2016,待遇面の満足度,3.61
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2017,待遇面の満足度,3.52
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2018,待遇面の満足度,3.49
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2019,待遇面の満足度,3.63
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2020,待遇面の満足度,3.76
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2021,待遇面の満足度,3.71
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2022,待遇面の満足度,3.56
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2023,待遇面の満足度,3.96
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2024,待遇面の満足度,4.13
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2025,待遇面の満足度,4.26
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2016,社員の士気,2.87
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2017,社員の士気,2.88
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2018,社員の士気,2.89
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2019,社員の士気,2.93
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2020,社員の士気,2.96
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2021,社員の士気,2.86
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2022,社員の士気,2.87
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2023,社員の士気,2.97
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2024,社員の士気,2.87
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2025,社員の士気,2.86
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2016,風通しの良さ,3.28
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2017,風通しの良さ,3.22
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2018,風通しの良さ,3.26
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2019,風通しの良さ,3.3
2025/6/30,因幡電機産業,9934,TOPIX Mid400,a0910000000Fs3q,2020,風通しの良さ,3.29
