date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2016,クチコミ総合評価,3.74
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2017,クチコミ総合評価,3.79
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2018,クチコミ総合評価,3.83
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2019,クチコミ総合評価,3.78
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2020,クチコミ総合評価,3.75
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2021,クチコミ総合評価,3.8
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2022,クチコミ総合評価,3.87
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2023,クチコミ総合評価,3.95
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2024,クチコミ総合評価,4.07
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2025,クチコミ総合評価,4.01
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2016,待遇面の満足度,3.42
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2017,待遇面の満足度,3.57
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2018,待遇面の満足度,3.7
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2019,待遇面の満足度,3.63
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2020,待遇面の満足度,3.69
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2021,待遇面の満足度,3.68
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2022,待遇面の満足度,3.68
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2023,待遇面の満足度,3.73
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2024,待遇面の満足度,3.89
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2025,待遇面の満足度,3.94
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2016,社員の士気,3.83
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2017,社員の士気,3.83
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2018,社員の士気,3.8
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2019,社員の士気,3.88
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2020,社員の士気,3.75
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2021,社員の士気,3.77
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2022,社員の士気,3.84
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2023,社員の士気,3.93
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2024,社員の士気,4.11
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2025,社員の士気,4.35
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2016,風通しの良さ,3.31
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2017,風通しの良さ,3.38
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2018,風通しの良さ,3.43
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2019,風通しの良さ,3.32
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2020,風通しの良さ,3.19
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2021,風通しの良さ,3.26
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2022,風通しの良さ,3.43
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2023,風通しの良さ,3.55
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2024,風通しの良さ,3.54
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2025,風通しの良さ,3.59
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2016,社員の相互尊重,3.42
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2017,社員の相互尊重,3.46
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2018,社員の相互尊重,3.47
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2019,社員の相互尊重,3.43
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2020,社員の相互尊重,3.46
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2021,社員の相互尊重,3.48
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2022,社員の相互尊重,3.58
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2023,社員の相互尊重,3.62
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2024,社員の相互尊重,3.73
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2025,社員の相互尊重,3.35
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2016,20代成長環境,4.26
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2017,20代成長環境,4.19
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2018,20代成長環境,4.12
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2019,20代成長環境,4.02
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2020,20代成長環境,3.95
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2021,20代成長環境,3.98
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2022,20代成長環境,3.97
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2023,20代成長環境,4.04
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2024,20代成長環境,4.22
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2025,20代成長環境,4.25
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2016,人材の長期育成,2.65
2025/6/30,ファーストリテイリング,9983,TOPIX Core30,a0910000000Fs4V,2017,人材の長期育成,2.66
