date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,クチコミ総合評価,3.76
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,クチコミ総合評価,3.63
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,クチコミ総合評価,3.72
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,クチコミ総合評価,3.79
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,クチコミ総合評価,3.78
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,クチコミ総合評価,3.81
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,クチコミ総合評価,3.89
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,クチコミ総合評価,3.63
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,クチコミ総合評価,3.6
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,クチコミ総合評価,3.72
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,待遇面の満足度,3.09
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,待遇面の満足度,2.91
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,待遇面の満足度,3.04
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,待遇面の満足度,3.23
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,待遇面の満足度,3.23
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,待遇面の満足度,3.42
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,待遇面の満足度,3.29
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,待遇面の満足度,2.67
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,待遇面の満足度,2.71
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,待遇面の満足度,3
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,社員の士気,4.01
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,社員の士気,3.89
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,社員の士気,3.96
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,社員の士気,3.99
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,社員の士気,3.96
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,社員の士気,3.79
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,社員の士気,3.64
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,社員の士気,3.61
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,社員の士気,3
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,社員の士気,3.61
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,風通しの良さ,3.8
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,風通しの良さ,3.8
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,風通しの良さ,3.85
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,風通しの良さ,3.75
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,風通しの良さ,3.69
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,風通しの良さ,3.55
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,風通しの良さ,3.72
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,風通しの良さ,3.72
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,風通しの良さ,3.53
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,風通しの良さ,3.61
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,社員の相互尊重,3.4
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,社員の相互尊重,3.43
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,社員の相互尊重,3.54
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,社員の相互尊重,3.56
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,社員の相互尊重,3.64
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,社員の相互尊重,3.61
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,社員の相互尊重,3.72
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,社員の相互尊重,3.61
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,社員の相互尊重,3.98
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,社員の相互尊重,4.11
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,20代成長環境,3.92
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,20代成長環境,3.71
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,20代成長環境,3.73
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,20代成長環境,3.79
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,20代成長環境,3.59
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,20代成長環境,3.48
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,20代成長環境,3.72
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,20代成長環境,3.72
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,20代成長環境,3.77
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,20代成長環境,4.11
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,人材の長期育成,2.68
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,人材の長期育成,2.57
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,人材の長期育成,2.63
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,人材の長期育成,2.6
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,人材の長期育成,2.56
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,人材の長期育成,2.81
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,人材の長期育成,3.1
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,人材の長期育成,2.93
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,人材の長期育成,3
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,人材の長期育成,2.67
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,法令順守意識,4.07
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,法令順守意識,4.03
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,法令順守意識,4.17
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,法令順守意識,4.13
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,法令順守意識,4.1
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,法令順守意識,3.9
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2021,法令順守意識,4.03
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2022,法令順守意識,3.82
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2023,法令順守意識,4.04
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2024,法令順守意識,3.54
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2015,人事評価の適正感,3.59
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2016,人事評価の適正感,3.33
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2017,人事評価の適正感,3.37
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2018,人事評価の適正感,3.64
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2019,人事評価の適正感,3.83
2025/6/30,ソフトバンクグループ,9984,TOPIX Core30,a0910000000Fs4W,2020,人事評価の適正感,4.25
