date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2016,クチコミ総合評価,2.93
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2017,クチコミ総合評価,2.88
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2018,クチコミ総合評価,2.88
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2019,クチコミ総合評価,2.87
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2020,クチコミ総合評価,2.84
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2021,クチコミ総合評価,2.83
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2022,クチコミ総合評価,2.86
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2023,クチコミ総合評価,2.85
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2024,クチコミ総合評価,2.97
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2025,クチコミ総合評価,3.38
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2016,待遇面の満足度,2.92
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2017,待遇面の満足度,2.88
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2018,待遇面の満足度,2.83
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2019,待遇面の満足度,2.79
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2020,待遇面の満足度,2.83
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2021,待遇面の満足度,2.79
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2022,待遇面の満足度,2.8
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2023,待遇面の満足度,2.91
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2024,待遇面の満足度,3.1
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2025,待遇面の満足度,3.88
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2016,社員の士気,2.6
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2017,社員の士気,2.52
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2018,社員の士気,2.49
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2019,社員の士気,2.43
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2020,社員の士気,2.38
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2021,社員の士気,2.39
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2022,社員の士気,2.37
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2023,社員の士気,2.38
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2024,社員の士気,2.63
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2025,社員の士気,2.63
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2016,風通しの良さ,2.99
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2017,風通しの良さ,2.95
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2018,風通しの良さ,2.94
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2019,風通しの良さ,2.94
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2020,風通しの良さ,2.94
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2021,風通しの良さ,2.95
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2022,風通しの良さ,2.98
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2023,風通しの良さ,2.94
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2024,風通しの良さ,2.89
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2025,風通しの良さ,3.47
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2016,社員の相互尊重,3.07
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2017,社員の相互尊重,3.03
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2018,社員の相互尊重,3.1
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2019,社員の相互尊重,3.14
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2020,社員の相互尊重,3.04
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2021,社員の相互尊重,2.99
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2022,社員の相互尊重,2.93
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2023,社員の相互尊重,2.84
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2024,社員の相互尊重,3
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2025,社員の相互尊重,3
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2016,20代成長環境,2.42
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2017,20代成長環境,2.34
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2018,20代成長環境,2.28
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2019,20代成長環境,2.24
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2020,20代成長環境,2.18
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2021,20代成長環境,2.13
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2022,20代成長環境,2.08
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2023,20代成長環境,1.94
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2024,20代成長環境,2.11
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2025,20代成長環境,2.25
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2016,人材の長期育成,2.49
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2017,人材の長期育成,2.42
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2018,人材の長期育成,2.46
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2019,人材の長期育成,2.39
2025/6/30,スズケン,9987,TOPIX Mid400,a0910000000Fs4Y,2020,人材の長期育成,2.34
