date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2016,クチコミ総合評価,2.71
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2017,クチコミ総合評価,2.72
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2018,クチコミ総合評価,2.76
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2019,クチコミ総合評価,2.82
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2020,クチコミ総合評価,2.86
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2021,クチコミ総合評価,2.91
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2022,クチコミ総合評価,2.87
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2023,クチコミ総合評価,2.82
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2024,クチコミ総合評価,2.87
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2025,クチコミ総合評価,3.06
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2016,待遇面の満足度,2.45
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2017,待遇面の満足度,2.49
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2018,待遇面の満足度,2.55
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2019,待遇面の満足度,2.56
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2020,待遇面の満足度,2.61
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2021,待遇面の満足度,2.68
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2022,待遇面の満足度,2.6
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2023,待遇面の満足度,2.5
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2024,待遇面の満足度,2.6
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2025,待遇面の満足度,2.66
2025/6/30,サンドラッグ,9989,TOPIX Mid400,a0910000000Fs4Z,2016,社員の士気,2.27
