date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,URL
2025/6/30,日立建機,6305,機械,0.000428,TOPIX Mid400,https://www.openwork.jp/a0910000000FrIy/analysis/
2025/6/30,ローツェ,6323,機械,0.000268,TOPIX Mid400,https://www.openwork.jp/a0910000000FrKp/analysis/
2025/6/30,荏原製作所,6361,機械,0.001426,TOPIX Mid400,https://www.openwork.jp/a0910000006AarC/analysis/
2025/6/30,栗田工業,6370,機械,0.000797,TOPIX Mid400,https://www.openwork.jp/a0910000000FrLT/analysis/
2025/6/30,ダイフク,6383,機械,0.00157,TOPIX Mid400,https://www.openwork.jp/a0910000000FrLe/analysis/
2025/6/30,タダノ,6395,機械,0.000138,TOPIX Mid400,https://www.openwork.jp/a0910000000FrLm/analysis/
2025/6/30,フジテック,6406,機械,0.000498,TOPIX Mid400,https://www.openwork.jp/a0910000000FrLu/analysis/
2025/6/30,ＳＡＮＫＹＯ,6417,機械,0.00077,TOPIX Mid400,https://www.openwork.jp/a0910000000FrM3/analysis/
2025/6/30,アマノ,6436,機械,0.000318,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMG/analysis/
2025/6/30,ブラザー工業,6448,電気機器,0.000832,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMN/analysis/
2025/6/30,グローリー,6457,機械,0.00022,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMR/analysis/
2025/6/30,セガサミーホールディングス,6460,機械,0.000707,TOPIX Mid400,https://www.openwork.jp/a0910000002WzNi/analysis/
2025/6/30,ホシザキ,6465,機械,0.000801,TOPIX Mid400,https://www.openwork.jp/a0910000000G2KT/analysis/
2025/6/30,日本精工,6471,機械,0.000314,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMc/analysis/
2025/6/30,ＮＴＮ,6472,機械,0.000135,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMd/analysis/
2025/6/30,ジェイテクト,6473,機械,0.000245,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMe/analysis/
2025/6/30,ミネベアミツミ,6479,電気機器,0.00092,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMi/analysis/
2025/6/30,ＴＨＫ,6481,機械,0.000556,TOPIX Mid400,https://www.openwork.jp/a0910000000FrMk/analysis/
2025/6/30,富士電機,6504,電気機器,0.001011,TOPIX Mid400,https://www.openwork.jp/a0910000000FrN3/analysis/
2025/6/30,安川電機,6506,電気機器,0.000888,TOPIX Mid400,https://www.openwork.jp/a0910000000FrN5/analysis/
2025/6/30,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,6525,電気機器,0.000611,TOPIX Mid400,https://www.openwork.jp/a0C1000001DpdmA/analysis/
2025/6/30,ソシオネクスト,6526,電気機器,0.000693,TOPIX Mid400,https://www.openwork.jp/a0C1000000xAnXr/analysis/
2025/6/30,ベイカレント,6532,サービス業,0.001388,TOPIX Mid400,https://www.openwork.jp/a0910000000GVaN/analysis/
2025/6/30,マキタ,6586,機械,0.001385,TOPIX Mid400,https://www.openwork.jp/a0910000000FrNG/analysis/
2025/6/30,マブチモーター,6592,電気機器,0.000231,TOPIX Mid400,https://www.openwork.jp/a0910000000FrNK/analysis/
2025/6/30,ＪＶＣケンウッド,6632,電気機器,0.000228,TOPIX Mid400,https://www.openwork.jp/a0910000000FrQZ/analysis/
2025/6/30,オムロン,6645,電気機器,0.000892,TOPIX Mid400,https://www.openwork.jp/a0910000000FrNa/analysis/
2025/6/30,ジーエス・ユアサ　コーポレーション,6674,電気機器,0.000301,TOPIX Mid400,https://www.openwork.jp/a0C30000005Nhg1/analysis/
2025/6/30,サンケン電気,6707,電気機器,0.000206,TOPIX Mid400,https://www.openwork.jp/a0910000000FrPp/analysis/
2025/6/30,セイコーエプソン,6724,電気機器,0.000595,TOPIX Mid400,https://www.openwork.jp/a0910000000FrQ1/analysis/
2025/6/30,アルバック,6728,電気機器,0.000291,TOPIX Mid400,https://www.openwork.jp/a0910000000FrQ4/analysis/
2025/6/30,シャープ,6753,電気機器,0.000253,TOPIX Mid400,https://www.openwork.jp/a0910000000FrQO/analysis/
2025/6/30,アンリツ,6754,電気機器,0.000329,TOPIX Mid400,https://www.openwork.jp/a0910000000FrQP/analysis/
2025/6/30,アルプスアルパイン,6770,電気機器,0.000315,TOPIX Mid400,https://www.openwork.jp/a0910000000FrQe/analysis/
2025/6/30,ヒロセ電機,6806,電気機器,0.000635,TOPIX Mid400,https://www.openwork.jp/a0910000000FrR5/analysis/
2025/6/30,横河電機,6841,電気機器,0.001054,TOPIX Mid400,https://www.openwork.jp/a0910000000FrRa/analysis/
2025/6/30,アズビル,6845,電気機器,0.000892,TOPIX Mid400,https://www.openwork.jp/a0910000000FrRd/analysis/
2025/6/30,日本光電工業,6849,電気機器,0.00038,TOPIX Mid400,https://www.openwork.jp/a0910000006Kwqi/analysis/
2025/6/30,堀場製作所,6856,電気機器,0.000528,TOPIX Mid400,https://www.openwork.jp/a0910000000FrRl/analysis/
2025/6/30,スタンレー電気,6923,電気機器,0.000401,TOPIX Mid400,https://www.openwork.jp/a0910000000FrSf/analysis/
2025/6/30,ウシオ電機,6925,電気機器,0.000169,TOPIX Mid400,https://www.openwork.jp/a0910000000FrSh/analysis/
2025/6/30,日本電子,6951,電気機器,0.000252,TOPIX Mid400,https://www.openwork.jp/a0910000000FrT2/analysis/
2025/6/30,カシオ計算機,6952,電気機器,0.000218,TOPIX Mid400,https://www.openwork.jp/a0910000000FrT3/analysis/
2025/6/30,ローム,6963,電気機器,0.000824,TOPIX Mid400,https://www.openwork.jp/a0910000000FrTB/analysis/
2025/6/30,浜松ホトニクス,6965,電気機器,0.000726,TOPIX Mid400,https://www.openwork.jp/a0910000000FrTD/analysis/
2025/6/30,太陽誘電,6976,電気機器,0.000275,TOPIX Mid400,https://www.openwork.jp/a0910000000FrTL/analysis/
2025/6/30,日東電工,6988,化学,0.002191,TOPIX Mid400,https://www.openwork.jp/a0910000000FrTR/analysis/
2025/6/30,川崎重工業,7012,輸送用機器,0.002033,TOPIX Mid400,https://www.openwork.jp/a0910000000FrTg/analysis/
2025/6/30,ＩＨＩ,7013,機械,0.003135,TOPIX Mid400,https://www.openwork.jp/a0910000000FrTh/analysis/
2025/6/30,全国保証,7164,その他金融業,0.000412,TOPIX Mid400,https://www.openwork.jp/a0C1000000TYfnj/analysis/
